country,city,occupation,field,years_of_experience,salary,employment_type,education_level,gender,company_size,year,month
Switzerland,Zurich,Operations Manager,Operations,16,359609.0,work_from_home,Master,Male,Large,2023,8
India,Bangalore,HR Analyst,Human Resources,12,79059.0,part_time,PhD,Male,Large,2023,5
Sweden,Stockholm,Software Engineer,Technology,10,258077.0,freelance,Master,Male,Enterprise,2023,9
South Korea,Seoul,Operations Manager,Operations,7,252282.0,part_time,Master,Female,Large,2024,12
United States,New York,Cloud Engineer,Technology,4,330618.0,part_time,Master,Male,Enterprise,2022,1
Mexico,Mexico City,HR Analyst,Human Resources,9,104059.0,work_from_home,PhD,Other,Medium,2024,4
Australia,Sydney,UX Designer,Design,24,166377.0,full_time,Master,Other,Small,2022,4
Australia,Sydney,Marketing Specialist,Marketing,20,188237.0,work_from_home,Master,Other,Medium,2023,1
United Arab Emirates,Dubai,Business Analyst,Business,5,211953.0,freelance,Master,Male,Medium,2023,1
India,Bangalore,Business Analyst,Business,8,86874.0,internship,PhD,Female,Small,2023,11
France,Paris,Marketing Specialist,Marketing,21,206701.0,internship,PhD,Female,Large,2024,4
United States,New York,Financial Analyst,Finance,8,281185.0,work_from_home,Master,Female,Small,2023,8
Mexico,Mexico City,Cloud Engineer,Technology,4,88157.0,work_from_home,Bachelor,Female,Medium,2025,11
United States,San Francisco,Data Scientist,Technology,1,232943.0,part_time,Master,Female,Large,2024,10
India,Bangalore,Operations Manager,Operations,8,103021.0,work_from_home,PhD,Other,Medium,2025,1
Brazil,Sao Paulo,UX Designer,Design,1,73476.0,work_from_home,High School,Male,Enterprise,2022,2
Mexico,Mexico City,Cloud Engineer,Technology,2,172875.0,freelance,PhD,Female,Enterprise,2024,10
Canada,Toronto,Software Engineer,Technology,20,254165.0,internship,PhD,Other,Small,2022,6
Mexico,Mexico City,Financial Analyst,Finance,12,173417.0,part_time,Bachelor,Female,Enterprise,2025,11
Spain,Madrid,Business Analyst,Business,9,246149.0,freelance,Master,Female,Large,2024,4
Italy,Milan,Data Analyst,Technology,6,126962.0,freelance,PhD,Male,Small,2024,2
France,Paris,UX Designer,Design,22,313011.0,part_time,PhD,Other,Enterprise,2023,5
United Arab Emirates,Dubai,Data Scientist,Technology,18,203660.0,full_time,Bachelor,Female,Medium,2022,11
New Zealand,Auckland,HR Analyst,Human Resources,10,129374.0,internship,High School,Other,Large,2023,12
South Korea,Seoul,HR Analyst,Human Resources,1,67694.0,full_time,High School,Other,Medium,2024,3
Netherlands,Amsterdam,Product Manager,Technology,12,226345.0,internship,Bachelor,Male,Small,2024,4
Canada,Toronto,Cloud Engineer,Technology,13,257330.0,part_time,High School,Other,Large,2025,12
Singapore,Singapore,HR Analyst,Human Resources,1,13576.0,internship,High School,Female,Small,2024,7
Netherlands,Amsterdam,Business Analyst,Business,8,191730.0,freelance,PhD,Male,Small,2023,5
New Zealand,Auckland,Operations Manager,Operations,20,226393.0,part_time,Master,Male,Large,2022,10
United States,San Francisco,Marketing Specialist,Marketing,4,134434.0,full_time,Master,Male,Small,2024,6
Brazil,Sao Paulo,AI Engineer,Technology,18,141608.0,full_time,High School,Female,Small,2022,6
United States,San Francisco,Software Engineer,Technology,25,335668.0,work_from_home,High School,Other,Large,2023,9
Ireland,Dublin,AI Engineer,Technology,12,284954.0,part_time,Bachelor,Male,Medium,2025,7
Mexico,Mexico City,Data Scientist,Technology,16,123253.0,work_from_home,Master,Female,Small,2022,6
South Africa,Cape Town,HR Analyst,Human Resources,9,72499.0,freelance,High School,Male,Large,2024,5
South Korea,Seoul,Business Analyst,Business,4,119849.0,full_time,High School,Female,Medium,2024,3
United States,San Francisco,Data Scientist,Technology,20,367673.0,part_time,Master,Male,Enterprise,2024,5
